gt,eid,uid,cid0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,13,0,0,0,0,24,0,7,13,1,4,0,0,67,0,0,6,17,51,0,56,4,0,0,0,0,4,47
0,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,28,0,0,0,3,0,0,30,0,0,0,0,10,48,0,64,0,0,12,0,0,0,0,36,0,0,0,0,57,0
0,FIHlppZyoq8muPbdVxS44gfvceX9zvU7,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,20,11,0,0,0,0,11,1,9,0,17,7,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0
0,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2,0,145,0,0,0,0,0,0,0,32,142,77,5,0,8,0,0,0,0,0,31,98,47,0,0,0,0,0,46
0,dpK33RH9yepUAnyoywRwBt1AJzxGlaja,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0
1,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,20,0,125,0,0,0,0,0,0,0,0,0,44,63,104,13,0,51,0,0,0,36,10,0,0,0,13,0,0,0
1,J1oRHoSJOInehnrxVdh32dK7QnDuCJWo,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,11,0,0,0,28,25,8,0,0,0
0,9tsGjrRgtMZ6V7yrAOyfOQPZHaltDHAp,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,8,0,0,6,22,14,0,14,0,6,7,0,0,20
0,hDbSkVrFRj9Ryk3c5E1JYJQLyxm4jLRb,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,0,0,0,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,64,74,173,47,13,0,0,0
1,XOhIczT5nEeO52jMq1vN7QziDk8L2jnI,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,14,16,0,7,10,0,0,0,0,4,18,10,0,0,0,0,23,0,0,0
0,mPSPvu82Gr17tV9GJ95bDC7exvsVnwDE,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,48,17,11,3,0,0,38,0,0,0,0,0,0,0,10,79,30,16,1,0,0,0,83,0,0,0
0,b0Hk5D3sJulvyuC4JEm5kvAvOLAxswgQ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,32,37,0,0,5,4,4,2,8,19,0
0,BoK7CAUaCFqnLgmWLxeOHg8YkXUSeCtc,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,30,33,5,0,0,0,10,17,0,5,0,0,0,0,0,0,0,4,5,0,0,0,8,14,11,0,0,0
1,dPBUV0FPFjTZZK079rPAeq0WXhW4DUkF,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,0,0,0,0,0,0,0,0,0,0,0,0,106,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,BoK7CAUaCFqnLgmWLxeOHg8YkXUSeCtc,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,17,53,5,0,0,0,0,24,4,0,5,0,0,0,0,0,0,0,0,5,0
0,vcAiZWU2sfUKO0mnfjDwm0iTzACrKr78,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,75,56,23,0,0,7,0,10,0,0
1,BoK7CAUaCFqnLgmWLxeOHg8YkXUSeCtc,TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,0,0,0,0,0,11,0,0,0,0,19,0,17,5,45,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0,JPkczYOxyoDZBjwZAAQHmjpSvnPQzwV0,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0
1,6mzGZyDGSLMvgMQyFwXmz47ojS1kH3j6,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,26,0,0,4,0,0,0,0,15,0,0,0,53,13,0,48,23,27,31,0,0,0,0,0,0,0,0,0
0,Jm4nQ05ndX10jbofbWx6S0r9VXrqia6S,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,30,13,0,9,6
0,oX0xmFM00RD2zpxC8x8yI57WZl7jF3OW,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,77,0,0,12,19,12,0,26,1,0,0,7,25,10,28,0,0,0,9,0,0,4
1,pIaiksmmvVAc0JI20ybkYLRLoGiY1oa0,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,65,56,12,46,4,21,0,0,0,13,20,0,0,0,0,0,0,0,0,0
0,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,0,0,0,0,0,0,4,0,16,0,46,0,0,83,27,98,8,73,119,27,0,62,20,18,151,17,0,0,0,26
1,hnewTKKnZRwEeXEZu9RmHHva1PDybMo2,KHPw0gmg1Ad3V07TqRpyBzA8mRjj7mkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1ELMItXjpijnCZU4WKxvrVri8AjkR2gf,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,14,60,0,0,0,0,0,0,0,19,0,0,0,0,5,74,0
0,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,210,71,110,56,79,100,125,68,50,36,183,133,49,97,85,45,44,9,51,38,70,67,53,19,9,0,27,76,58,87
1,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,0,4,0,0,19,0,0,0,0,21,6,0,0,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,bYjPoNbc5ILh7K7s9YR8HLOMNJGN6Ums,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,44,0,51,18,23,6,0,13,169,91,0,42,67,47,31,101,34,19,90,17,1,45,13,9,7,47,0,33,167,53
0,W2zRYlzk0ei7cx2ruEYRDHanjAoUayvK,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,55,7,58,8,0,22,0,10,0,7,0,2,0,0,0,0,0,6,89,12,0,0,4,0,4,0,0,0,198
1,vDCA6A8V8iNu9PnQcHHjWg8eeAvtWhvD,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,oc1EMnchQBmbWlIpHBHLzadUivTJPdfL,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,72,0,0,0,0,6,127,0,11,9,0,5,0,0,0,0,0,34,0,4,12
0,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,0,12,20,123,0,8,40,12,0,33,47,0,28,91,30,37,41,38,10,0,0,0,0,19,0,0,0,0,0,0
0,DOQEvMJBYQqkprn6a49Y1StW9VE2RWsv,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,29,0,7,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,67,0,4,24
1,RC5QsgGp5CEBoTIVkfYtUyhSaeGU1kpt,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,15,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,29,18,4,7,0,0,0,0,0,0,0,0
1,H4EpzfhBZTBMvIrjQViqhdqLon30wgHK,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,98,12,0,0,0,0,0,0,12,11,12,0,0,15,12,12,28,0,0,0,0,0,0,33,0
0,aQe5kaSHlc8it9UOq6Tc0Vr1jiUXnGAn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,24,0,0,0,0,0,0,0,0,0,28,10,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0,25,0
0,TX9kR82HceJr4Au9oXOB8xgM5CWqEcLn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,16,9,15,3,3,0,0,0,0,3,0,7
0,wNnFwbbuJ0G8aAWAVUNIZD5LHyqBDZ9j,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,18,29,4,0,3,0,4,9,0,0,0,0,0,0,4,11,0,0,0,0,6,0,9,11,5,15,0
0,Zl8ThqnwtmFsX5mPsLsbut5BCVNIbE7S,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,12,30,0,0,0,0,0,0,0,0,0,45,31,0,0,0,0,4,24,59,61,0,0,119,64,0,0,0
1,3OncZU7BUvaKEvQHiFBN6tDW0ljGKx7s,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,3,0,0,0,0,16,6,28,0,0,0,6,62,0,0
0,eoY58NwX7OVcm2sOG1AAgydEA1V5TiLJ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,7,0,0,0,18,0,0,0,0,0,60,0,0,15,32,0,0,70,26,0,0,37,0,0,8,0,38,36
0,gCJybHwzj5IG8eLcBM00cu3kCiCSwLYH,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,9,20,44,0,12,0,0,29,25,22,14,0,0,17,14,20,31,0,0,13,5,14,11,111,0,0
0,2TH62eGTXodwEhpz0R2r2PGNllCzjSnV,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,12,0,16,0,5,0,30,0,0,0,0,0
0,ng6pKLw29iNUAUVipg5eDAuNIWs8HjZH,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,10,0,16,0,0,46,28,0,34,0,7,0,83,0,0,0,0,0,0,35
0,J1oRHoSJOInehnrxVdh32dK7QnDuCJWo,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,7,0
0,jZn0klM9Bk084k9gvux7E5DK1oO1FwuJ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,16,0,0,64,0,0,0,0,0,0,0,5,0,0,0,6,28,0,0,25,0,0,0,0,9,0,19,105,0
0,olb8JJE3JH3t470duspGvJVPaI3VhxAV,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,3,26,3,1,0,83,26,42,0,0,0,0,0,0,0,0,0,0,0,0,45,0
0,lZHURZFwFLamXhQUkI9XRx59K6BW6H3O,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,14,11,2,0,0,0,0,6,0,0
0,Iy4fBLaa3xsWUPPZMj2gyn2I4d6V8xZn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,2,50,13,0,0,0,0,0,33,0,0,0,0,0,0,5,0,0,13,10,9,18,21,0,11,46,0,0,0,0
0,mSvACNqtnyVszlO8FVHv7Eooehgz0YXK,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,70,35,6,0,0,0,0,0,110,0
0,K4dJPTvUBeOjhny7K2XNlybqij95W1yF,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,40,37,23,0,0,0,0,42,10,0,0,0,0,0,0,0,4,35,51,26,53,0,0,4,0,0,0,0
0,21Rlji7FpcAaXHEbcI1vwwwes6aWu1wD,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,33,0,0,10,0,42,9,0,0,7,2,28,0,0,7,0,0,12,1,89,13,0,0,0,0,19,43,0,0
1,utm1DwjvOvhx0O7TM2p6zspWE57Uh0vM,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,6rY5gqjppQzPtOIlGOty1LtzqGK2wvGe,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,7,0
0,WhRteuCWesuA83hGdKEVK0Gmm6qSlyiu,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,36,8,0,10,13,33,0,4,22,3,4,5,0,0,4,0,2,2,1
0,dV1XqVzF7IGavO4yazGYWWpSwseMGR81,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,15,0,0,0,0,0,15,0,20,0,0,0,0,0,0,0,6,0,0,27,0,0,0,0,0,0,0,0,0
1,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,11,0,39,26,0,0,0,0,0,0,0,0,21,50,0,0,0,0,9,0,0,0,0,0,0,0,16,19,0,0
1,OdKa6Lpj5ulcivYCSKGfUE6lp1TAvfp9,TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0
0,E7Frt6tr6owhsgLSRkD2PqDaTSKmNLId,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,63,4,9,4,4,0,0,46,0,10,0,0,0,0,0,0,0,6,13,4,0,6,0,8,12,5,0,0
1,Z1BvcrHFnz5lnLSAy2ZEcjcmCxIRFxqE,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,51,0,0,25,0,0,1,2,0,24,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,31,4,0
1,cR73GzyHh0OoMC4Dpa5mL1727NTlDue7,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,cWJEa21luHAXTQsSfZfHYGAv2c7trrsw,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,14,24,19,6,0,0,0,37,0,26,13,45,0,0,0,0,0,0,0,95,48
0,0K6JPqiivQzicxY4EV4nqMLCL3a08A97,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,27,0,0,0,0,30,0,0,0,0,0,0,0,5,10,53,55,67,17,8,81,0,0,0,0,19
1,Kr06RpLFIZX8jjsvbrPgQie93Bb2lOp3,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,1,0,1,1,1,0,0,0
1,CJ64fiZKt9pOk5ZXFVWf4fg8xondAXr3,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,60,0,0,0,0,0,36,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
1,fHEcWln3a2mF8YT5C7MBT2amDZFG7e3O,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0
1,kSz7SjDszFxZ22xh6dMQDGORUYhPcONc,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,10,0,0,0,0,0
0,jaHWKFBvrvFfPb0Pq50zaMZ2xpeRooXu,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,80,4,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,5,0,48,52,6,0,0,17,60,6,0,112
0,C6OkpqYGxZDK55uJrTXLk64MO2W2kN6e,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,10,7,0,21,31,9,0,0,5,9,13,0,0,0,0,0,0,68,4,12,0,0,0,38,0,11,12,0
1,JNo2rLqKe6aBGDwGzu8tXd13uOC5tEnq,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,KJqk2mqO9zObiBFKUIX8SZwFqMDmmXHT,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,39,60,22,0,0,0,0,103,16,6,0,0,0,0,88,0,1,0,0,0,0,52,0,16,0,30
0,YE1rovPZph43LumR0tvbOJ2qHlGYgJD3,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,60,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,1110,79,82,0,81,9,0,0,0,0,0,0
0,kyQQjlYWWdoNi3cnbnngrg8hon4DRWDO,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,39,11,44,0,8,0,0,0,0,0,0,0,9,9
0,esS7vj7QAiZOORE9uU2mTbjjZ6ubRlLc,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,75,0,0,0,7,0,0,4,5,22,0,0,4,0,0,0,0,86,0,0,0,0,5,0
0,Shy9JfZYChkNPZbUd2phv97hBmkBol7O,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,40,54,23,10,0,0,11,0,30,10,0,0,0,0,0,85,0,38
1,orGuNlgWXoX4ATfBzy38FyUFPSfuKWGu,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,31,0,0,17,0,0,0,0,0,0,0,12,0,0,0,0,95,0,0,0,0,0,0,0,0,0
0,K8pRMkkOIhRAvkq9zGJ8oejLf8KpcTcZ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,41,6,14,0,0,0,0,0,0,23,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
1,kSdujG9IBpbpdATQfTVZWfaPQYbq8VsQ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1,QiYah6MaRTZX43IYRVARS0cRIO6IdBSv,TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,RfyK0Tm3WTR8rqmbFCNfh40gdMMylakA,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,82,0,0,0,0,37,0,0,0,0
